household_id,neighborhood,month,usage_liters,household_size,bill_usd,meter_reading,usage_per_person,month_name,month_num,is_anomaly
HH6578,Tech Hub,2023-11-01,314.2,3,18.45,9322,104.7,Nov,11,False
HH5555,Market Square,2023-02-01,875.4,1,44.01,4385,875.4,Feb,2,True
HH3747,Market Square,2023-12-01,213.2,4,9.8,1189,53.3,Dec,12,False
HH9838,Old Town,2023-12-01,212.8,3,11.43,6393,70.9,Dec,12,False
HH1775,Tech Hub,2023-09-01,282.0,4,13.52,9226,70.5,Sep,9,False
HH4843,Green Park,2023-04-01,197.0,2,8.44,8989,98.5,Apr,4,False
HH2016,Market Square,2023-02-01,219.1,4,12.72,8869,54.8,Feb,2,False
HH9571,Market Square,2023-02-01,282.7,4,16.28,9684,70.7,Feb,2,False
HH6618,Green Park,2023-01-01,151.7,3,7.03,7736,50.6,Jan,1,False
HH4104,Old Town,2023-03-01,134.8,4,6.12,8215,33.7,Mar,3,False
HH9110,Market Square,2023-03-01,202.8,3,11.42,4840,67.6,Mar,3,False
HH8721,Market Square,2023-10-01,226.6,2,9.64,8035,113.3,Oct,10,False
HH2757,Market Square,2023-03-01,252.6,4,12.03,8574,63.2,Mar,3,False
HH3693,Market Square,2023-11-01,298.7,2,16.58,4627,149.4,Nov,11,False
HH2306,Tech Hub,2023-11-01,276.8,1,13.12,7776,276.8,Nov,11,False
HH1663,Tech Hub,2023-09-01,273.9,5,12.68,2998,54.8,Sep,9,False
HH7585,Old Town,2023-06-01,233.0,1,8.73,2291,233.0,Jun,6,False
HH5737,River Side,2023-03-01,187.8,1,7.4,1854,187.8,Mar,3,False
HH6791,Market Square,2023-01-01,255.5,2,14.91,6535,127.8,Jan,1,False
HH3931,Tech Hub,2023-07-01,396.7,5,21.38,8777,79.3,Jul,7,False
HH1659,Old Town,2023-01-01,136.8,3,4.45,3811,45.6,Jan,1,False
HH9680,Old Town,2023-04-01,160.3,4,7.28,3976,40.1,Apr,4,False
HH1262,River Side,2023-08-01,296.4,2,13.05,7287,148.2,Aug,8,False
HH5548,River Side,2023-09-01,168.7,4,8.67,4108,42.2,Sep,9,False
HH5499,Old Town,2023-07-01,186.9,3,6.7,7295,62.3,Jul,7,False
HH1098,Green Park,2023-08-01,271.6,1,15.79,3200,271.6,Aug,8,False
HH9352,Market Square,2023-02-01,217.7,5,8.45,6699,43.5,Feb,2,False
HH5496,Green Park,2023-05-01,166.1,3,6.08,5735,55.4,May,5,False
HH9754,Green Park,2023-12-01,221.2,5,11.35,6895,44.2,Dec,12,False
HH8996,Old Town,2023-11-01,160.4,1,10.93,8683,160.4,Nov,11,False
HH2060,Old Town,2023-01-01,82.5,4,3.64,3327,20.6,Jan,1,False
HH1190,Market Square,2023-01-01,276.1,4,16.9,1980,69.0,Jan,1,False
HH6442,Green Park,2023-03-01,186.4,2,6.83,2895,93.2,Mar,3,False
HH1784,River Side,2023-06-01,268.8,2,11.94,9096,134.4,Jun,6,False
HH6986,Green Park,2023-11-01,193.5,2,13.23,2841,96.8,Nov,11,False
HH3368,Green Park,2023-08-01,252.7,5,14.38,7655,50.5,Aug,8,False
HH4769,Tech Hub,2023-03-01,265.4,3,10.27,1574,88.5,Mar,3,False
HH3491,Market Square,2023-06-01,337.6,3,17.04,4124,112.5,Jun,6,False
HH5142,Tech Hub,2023-12-01,253.6,4,13.72,7966,63.4,Dec,12,False
HH6177,Tech Hub,2023-02-01,194.2,3,10.08,9932,64.7,Feb,2,False
HH2081,River Side,2023-05-01,215.9,1,9.21,1512,215.9,May,5,False
HH5070,River Side,2023-06-01,336.4,5,19.35,1580,67.3,Jun,6,False
HH6188,Market Square,2023-07-01,352.6,1,16.44,3141,352.6,Jul,7,False
HH8421,Tech Hub,2023-05-01,272.2,4,13.49,5452,68.0,May,5,False
HH5611,River Side,2023-10-01,220.1,5,12.52,3839,44.0,Oct,10,False
HH7833,River Side,2023-01-01,197.3,4,11.72,3427,49.3,Jan,1,False
HH6536,Green Park,2023-01-01,167.4,1,9.3,4913,167.4,Jan,1,False
HH9945,Old Town,2023-12-01,109.5,5,4.08,3082,21.9,Dec,12,False
HH4974,Green Park,2023-10-01,768.5,1,37.5,4267,768.5,Oct,10,True
HH8164,River Side,2023-05-01,235.9,1,11.43,9867,235.9,May,5,False
HH6073,River Side,2023-05-01,242.4,4,13.34,6104,60.6,May,5,False
HH6917,Market Square,2023-12-01,259.1,1,12.08,9787,259.1,Dec,12,False
HH8400,Green Park,2023-06-01,234.3,5,11.12,9082,46.9,Jun,6,False
HH6486,Tech Hub,2023-09-01,309.7,3,15.22,9335,103.2,Sep,9,False
HH4636,Market Square,2023-05-01,219.8,4,8.56,2167,55.0,May,5,False
HH8330,Green Park,2023-07-01,251.6,2,10.79,6334,125.8,Jul,7,False
HH2191,Market Square,2023-11-01,276.7,5,14.83,7313,55.3,Nov,11,False
HH2365,Green Park,2023-02-01,105.6,5,5.44,9691,21.1,Feb,2,False
HH9905,Green Park,2023-07-01,230.4,3,11.09,6977,76.8,Jul,7,False
