household_id,neighborhood,month,water_usage_liters,household_size,monthly_bill_usd,meter_reading
HH6578,Tech Hub,2023-11,314.2,3,18.45,9322
HH5555,Market Square,2023-02,875.4,1,44.01,4385
HH3747,Market Square,2023-12,213.2,4,9.8,1189
HH9838,Old Town,2023-12,212.8,3,11.43,6393
HH1775,Tech Hub,2023-09,282.0,4,13.52,9226
HH4843,Green Park,2023-04,197.0,2,8.44,8989
HH2016,Market Square,2023-02,219.1,4,12.72,8869
HH9571,Market Square,2023-02,282.7,4,16.28,9684
HH6618,Green Park,2023-01,151.7,3,7.03,7736
HH4104,Old Town,2023-03,134.8,4,6.12,8215
HH9110,Market Square,2023-03,202.8,3,11.42,4840
HH8721,Market Square,2023-10,226.6,2,9.64,8035
HH2757,Market Square,2023-03,252.6,4,12.03,8574
HH3693,Market Square,2023-11,298.7,2,16.58,4627
HH2306,Tech Hub,2023-11,276.8,1,13.12,7776
HH1663,Tech Hub,2023-09,273.9,5,12.68,2998
HH7585,Old Town,2023-06,233.0,1,8.73,2291
HH5737,River Side,2023-03,187.8,1,7.4,1854
HH6791,Market Square,2023-01,255.5,2,14.91,6535
HH3931,Tech Hub,2023-07,396.7,5,21.38,8777
HH1659,Old Town,2023-01,136.8,3,4.45,3811
HH9680,Old Town,2023-04,160.3,4,7.28,3976
HH1262,River Side,2023-08,296.4,2,13.05,7287
HH5548,River Side,2023-09,168.7,4,8.67,4108
HH5499,Old Town,2023-07,186.9,3,6.7,7295
HH1098,Green Park,2023-08,271.6,1,15.79,3200
HH9352,Market Square,2023-02,217.7,5,8.45,6699
HH5496,Green Park,2023-05,166.1,3,6.08,5735
HH9754,Green Park,2023-12,221.2,5,11.35,6895
HH8996,Old Town,2023-11,160.4,1,10.93,8683
HH2060,Old Town,2023-01,82.5,4,3.64,3327
HH1190,Market Square,2023-01,276.1,4,16.9,1980
HH6442,Green Park,2023-03,186.4,2,6.83,2895
HH1784,River Side,2023-06,268.8,2,11.94,9096
HH6986,Green Park,2023-11,193.5,2,13.23,2841
HH3368,Green Park,2023-08,252.7,5,14.38,7655
HH4769,Tech Hub,2023-03,265.4,3,10.27,1574
HH3491,Market Square,2023-06,337.6,3,17.04,4124
HH5142,Tech Hub,2023-12,253.6,4,13.72,7966
HH6177,Tech Hub,2023-02,194.2,3,10.08,9932
HH2081,River Side,2023-05,215.9,1,9.21,1512
HH5070,River Side,2023-06,336.4,5,19.35,1580
HH6188,Market Square,2023-07,352.6,1,16.44,3141
HH8421,Tech Hub,2023-05,272.2,4,13.49,5452
HH5611,River Side,2023-10,220.1,5,12.52,3839
HH7833,River Side,2023-01,197.3,4,11.72,3427
HH6536,Green Park,2023-01,167.4,1,9.3,4913
HH9945,Old Town,2023-12,109.5,5,4.08,3082
HH4974,Green Park,2023-10,768.5,1,37.5,4267
HH8164,River Side,2023-05,235.9,1,11.43,9867
HH6073,River Side,2023-05,242.4,4,13.34,6104
HH6917,Market Square,2023-12,259.1,1,12.08,9787
HH8400,Green Park,2023-06,234.3,5,11.12,9082
HH6486,Tech Hub,2023-09,309.7,3,15.22,9335
HH4636,Market Square,2023-05,219.8,4,8.56,2167
HH8330,Green Park,2023-07,251.6,2,10.79,6334
HH2191,Market Square,2023-11,276.7,5,14.83,7313
HH2365,Green Park,2023-02,105.6,5,5.44,9691
HH9905,Green Park,2023-07,230.4,3,11.09,6977
HH7619,Old Town,2023-07,176.4,2,7.98,9647
HH2214,Market Square,2023-09,275.2,1,16.03,2531
HH7316,Green Park,2023-09,169.7,4,9.4,2852
HH4376,Market Square,2023-06,375.3,1,16.63,6645
HH2353,Green Park,2023-05,153.1,3,10.71,6063
